Node	Total SNPs	Number of SNPs Inside Recombinations	Number of SNPs Outside Recombinations	Number of Recombination Blocks	Bases in Recombinations	Cumulative Bases in Recombinations	r/m	rho/theta	Genome Length	Bases in Clonal Frame
SRR5827214	1786	1223	563	68	45887	431694	2.172291	0.120782	2038028	1710656
SRR955973	2561	1362	1199	85	105963	191084	1.135947	0.070892	2148653	2025190
ERR439351	1831	1119	712	62	12566	301641	1.571629	0.087079	2105033	1885221
ERR449559	1003	793	210	34	13655	314514	3.776191	0.161905	2035070	1851342
SRR1661322	316	266	50	16	22008	444179	5.320000	0.320000	2078082	1691527
ERR9838508	1211	1161	50	24	29738	528549	23.219999	0.480000	2176554	1715362
DRR248387	1253	1009	244	56	42353	523278	4.135246	0.229508	2030083	1652862
LLL016	748	520	228	30	11753	431846	2.280702	0.131579	2065984	1708978
GCGS0348	281	144	137	14	1335	341329	1.051095	0.102190	2129235	1833238
HHH018	2582	1450	1132	89	73299	271837	1.280919	0.078622	2145425	1932795
ERR3623231	630	506	124	29	19819	414354	4.080645	0.233871	2101953	1801786
CCC022	295	271	24	10	44	427674	11.291667	0.416667	2132401	1766215
SRR6765489	1768	1275	493	62	41318	322249	2.586207	0.125761	2046321	1815775
ERR3577467	1303	1144	159	44	24013	499203	7.194969	0.276730	2147470	1769030
ERR9837541	1414	967	447	45	7511	380125	2.163311	0.100671	2120945	1814643
ERR439292	1163	901	262	45	14668	414619	3.438931	0.171756	2087755	1804760
ERR1602768	1316	1119	197	55	27235	423540	5.680203	0.279188	2127782	1872799
ERR1143684	2181	1302	879	66	99099	364730	1.481229	0.075085	2145652	1853078
ERR1560867	1554	1166	388	58	25454	460962	3.005155	0.149485	2138689	1776270
ERR449460	1162	917	245	43	42174	419262	3.742857	0.175510	2133583	1819306
DRR248403	4328	2263	2065	122	83777	164574	1.095884	0.059080	2133329	2034877
25818_2_184	1194	943	251	36	9374	351192	3.756972	0.143426	2131335	1874251
ERR1528195	2541	1559	982	77	76436	249958	1.587576	0.078411	2134501	1984441
ERR9838867	2085	1430	655	73	31229	480825	2.183206	0.111450	2139863	1720652
LLL045	1260	1048	212	48	21296	504441	4.943396	0.226415	2071606	1672560
ERR363630	1000	749	251	41	29287	449357	2.984064	0.163347	2074648	1721734
FL43	734	679	55	20	11217	402148	12.345454	0.363636	2068957	1722618
GCGS0680	1171	1067	104	38	25877	483310	10.259615	0.365385	2179995	1781481
ERR3325360	1126	786	340	35	23413	385505	2.311765	0.102941	2101173	1826187
SRR3361357	568	470	98	29	25807	418419	4.795918	0.295918	2147437	1800136
SRR5827097	3339	1819	1520	98	104011	186600	1.196710	0.064474	2106635	1989226
SRR1661179	1189	934	255	49	35244	454523	3.662745	0.192157	2165384	1810039
SRR5827245	757	537	220	32	8428	408040	2.440909	0.145455	2056123	1726570
ERR449496	1832	1125	707	63	31973	352224	1.591231	0.089109	2095445	1797554
ERR439319	4221	1820	2401	109	65537	206143	0.758017	0.045398	2085290	1932997
ERR388367	1719	1122	597	63	37798	403485	1.879397	0.105528	2144478	1797757
ERR9838419	2392	1866	526	67	38709	358200	3.547529	0.127376	2129351	1870450
ERR363639	1250	979	271	45	20130	406647	3.612546	0.166052	2135917	1826152
GCGS0072	1583	1317	266	51	25083	445083	4.951128	0.191729	2111151	1821232
SRR25580339	1282	1117	165	40	23499	458145	6.769697	0.242424	2171341	1802165
ERR449572	2518	1606	912	83	48156	311388	1.760965	0.091009	2087485	1860115
ERR363625	1169	862	307	43	31131	362251	2.807818	0.140065	2100239	1859069
ERR9838019	979	756	223	39	27762	364115	3.390135	0.174888	2164162	1901984
EEE022	844	715	129	43	34609	496895	5.542635	0.333333	2156274	1772500
ERR2799249	1060	874	186	39	11207	408211	4.698925	0.209677	2135239	1817527
ERR9838543	1623	1403	220	55	32294	497679	6.377273	0.250000	2162303	1799324
ERR439308	1231	862	369	38	27352	313151	2.336043	0.102981	2102091	1886839
ERR439315	1544	974	570	53	21762	256564	1.708772	0.092982	2096047	1924109
ERR9839096	1300	1092	208	49	29242	567161	5.250000	0.235577	2085772	1656938
25825_2_59	2017	1462	555	74	87476	314579	2.634234	0.133333	2159160	1949444
DDD045	175	154	21	7	1190	636077	7.333333	0.333333	2152518	1567460
ERR9838261	3	0	3	0	0	360494	0.000000	0.000000	2079810	1747140
ERR388294	1475	917	558	54	25244	246463	1.643369	0.096774	2085321	1926971
ERR9669016	2182	1643	539	63	30768	500241	3.048238	0.116883	2158903	1734322
ERR439321	3726	1773	1953	112	67164	247014	0.907834	0.057348	2029090	1835386
ERR363627	1109	821	288	47	20840	514692	2.850694	0.163194	2120782	1682938
SRR5827098	1738	893	845	58	60937	175717	1.056805	0.068639	2111916	2005203
SRR11903915	1997	1599	398	64	70514	431778	4.017588	0.160804	2143479	1829170
ERR3851629	2750	1546	1204	89	89263	215186	1.284053	0.073920	2075226	1936361
ERR3577328	2704	1630	1074	95	47000	340712	1.517691	0.088454	2083096	1788836
ERR7993907	2638	1782	856	82	72682	343427	2.081776	0.095794	2156038	1897143
ERR3325717	1081	880	201	38	24887	382308	4.378109	0.189055	2086913	1856157
CCC029	1558	1180	378	61	66979	463861	3.121693	0.161376	2133263	1778722
ERR349918	2362	1732	630	78	73493	276932	2.749206	0.123810	2089805	1931499
ERR9838204	1520	1228	292	53	26801	478658	4.205480	0.181507	2149888	1771452
ERR363659	948	688	260	37	25745	380478	2.646154	0.142308	2133164	1850726
LLL046	755	595	160	28	30631	476029	3.718750	0.175000	2129909	1747780
GCGS0782	897	743	154	34	18252	399206	4.824676	0.220779	2095085	1792909
SRR25580211	1688	1308	380	63	44475	373340	3.442105	0.165789	2162821	1875232
ERR7986122	2526	1893	633	87	80538	291110	2.990521	0.137441	2165159	1950287
ERR3623155	1208	879	329	52	36726	428750	2.671732	0.158055	2089090	1738125
ERR7985858	2151	1446	705	72	83840	325157	2.051064	0.102128	2129504	1880653
ERR1560829	1697	1480	217	61	31168	562312	6.820276	0.281106	2146950	1711979
ERR3325880	3411	1767	1644	106	130338	180715	1.074818	0.064477	2145192	2028451
ERR9838323	1968	1496	472	65	54942	455880	3.169492	0.137712	2186974	1807347
SRR13305407	993	787	206	35	6287	497292	3.820388	0.169903	2120119	1725125
ERR449483	2874	1617	1257	89	91244	255918	1.286396	0.070804	2078928	1912984
SRR8071056	1088	873	215	48	22116	485762	4.060465	0.223256	2063579	1691252
ERR449458	1321	1129	192	43	20067	400024	5.880208	0.223958	2141801	1866287
GGG006	701	545	156	28	20848	431739	3.493590	0.179487	2094629	1757002
SRR13305419	1703	1429	274	61	22162	501117	5.215329	0.222628	2111349	1753662
ERR7986118	1946	1525	421	65	46038	349973	3.622328	0.154394	2118138	1867459
SRR13429245	1126	904	222	42	31640	400201	4.072072	0.189189	2049988	1777533
CCC032	1067	828	239	43	32757	416217	3.464435	0.179916	2094003	1796214
ERR1143674	2892	1816	1076	87	87466	309661	1.687732	0.080855	2140627	1915788
ERR363614	2953	1315	1638	94	90204	168388	0.802808	0.057387	2088029	1972697
ERR1469737	1088	835	253	46	15450	383316	3.300395	0.181818	2088687	1813331
ERR9838745	3819	1795	2024	110	77009	141870	0.886858	0.054348	2120517	2044080
SRR959017	1380	1104	276	47	38742	390732	4.000000	0.170290	2095031	1808962
SRR3361352	1208	993	215	43	8250	537078	4.618605	0.200000	2143898	1745883
ERR1143662	1960	1255	705	68	67511	206708	1.780142	0.096454	2153253	2024920
DRR248415	3124	1852	1272	86	98973	207956	1.455975	0.067610	2134321	2009844
HHH001	1952	1472	480	61	35161	486187	3.066667	0.127083	2127893	1734300
GCGS0860	864	666	198	32	21696	378898	3.363636	0.161616	2164005	1853370
AUNG1852	991	866	125	37	26438	477635	6.928000	0.296000	2123372	1728369
GGG042	1489	1168	321	52	40858	539027	3.638629	0.161994	2155462	1750713
GCs13M	1794	1196	598	63	80114	266187	2.000000	0.105351	2129308	1959479
GCGS0292	1175	881	294	41	29223	342742	2.996599	0.139456	2123769	1891648
ERR9837340	1665	1115	550	61	33514	427232	2.027273	0.110909	2087622	1736112
SRR13305428	792	637	155	30	17514	486283	4.109677	0.193548	2056824	1645860
ERR449578	3530	1649	1881	114	109585	196501	0.876661	0.060606	2118056	1969981
ERR1549757	1992	1378	614	70	31327	410141	2.244300	0.114007	2084574	1747111
ERR449480	4291	1704	2587	107	67664	108714	0.658678	0.041361	2127221	2069151
SRR6765490	1743	1052	691	55	33733	309583	1.522431	0.079595	2094468	1847513
ERR3325394	1677	1291	386	65	30928	507893	3.344560	0.168394	2090476	1680061
GCGS0296	1440	1298	142	39	35067	489235	9.140845	0.274648	2172226	1754825
GCGS0525	1343	1235	108	33	22318	404838	11.435185	0.305556	2136679	1849097
ERR349900	2343	1467	876	73	52966	296792	1.674658	0.083333	2149693	1924749
ERR7975736	728	578	150	35	19295	393031	3.853333	0.233333	2136189	1820078
EEE028	885	748	137	36	33949	528724	5.459854	0.262774	2164224	1713342
ERR502235	1500	1101	399	54	31712	331429	2.759398	0.135338	2151096	1912412
ERR7986854	2154	1527	627	61	20802	289784	2.435407	0.097289	2138497	1934071
ERR3623414	1333	1066	267	56	49974	428836	3.992509	0.209738	2103797	1775233
ERR1528155	713	555	158	32	20685	478104	3.512658	0.202532	2094914	1729400
ERR439311	1999	1076	923	63	31895	288633	1.165764	0.068256	2028075	1807765
ERR3623361	1569	1314	255	54	16475	470815	5.152941	0.211765	2095970	1710815
ERR439362	4306	1765	2541	100	53042	184957	0.694608	0.039355	2109897	1975608
SRR13305403	1387	935	452	46	32316	445677	2.068584	0.101770	2068172	1710180
DDD027	1036	783	253	38	15071	521991	3.094862	0.150198	2066729	1630660
ERR779821	3938	1894	2044	98	78013	201154	0.926614	0.047945	2096369	1952561
25818_2_270	100	64	36	8	1689	474765	1.777778	0.222222	2182226	1730029
ERR3577998	2198	1292	906	63	68013	321561	1.426049	0.069536	2134249	1890536
SRR11904417	1104	835	269	34	4856	434139	3.104089	0.126394	2147222	1806504
ERR976923	897	669	228	29	13881	377661	2.934211	0.127193	2088342	1795830
GCGS0154	1443	1180	263	54	27561	452417	4.486692	0.205323	2082557	1727373
GCGS0369	868	693	175	42	12721	445408	3.960000	0.240000	2080363	1734534
21242_3_112	2210	1510	700	71	80153	396227	2.157143	0.101429	2141876	1816089
ERR388428	2241	1446	795	69	48167	297010	1.818868	0.086792	2104472	1897362
ERR3851636	1667	1013	654	56	32118	332815	1.548930	0.085627	2076024	1817248
ERR388320	4017	1525	2492	100	60371	215816	0.611958	0.040128	2127628	1957268
GCGS0509	1817	1151	666	60	46721	313329	1.728228	0.090090	2104645	1880809
21242_4_87	820	711	109	37	26039	555299	6.522936	0.339450	2095735	1632620
SRR9877820	1600	1427	173	51	13185	517660	8.248555	0.294798	2129083	1719603
ERR7975942	1596	1161	435	55	30899	460794	2.668966	0.126437	2088653	1718071
ERR9837378	3593	1616	1977	95	86370	185587	0.817400	0.048053	2083684	1964762
SRR25580342	533	393	140	21	10050	463528	2.807143	0.150000	2154735	1752113
ERR439371	1301	1002	299	45	39821	405549	3.351171	0.150502	2113962	1847681
ERR9839221	1975	1353	622	71	52882	359487	2.175241	0.114148	2103399	1852587
DRR248395	2371	1563	808	81	81597	249698	1.934406	0.100248	2141407	1972453
ERR3325822	1746	1380	366	65	44752	350898	3.770492	0.177596	2063113	1838706
ERR775147	1224	894	330	33	4137	428400	2.709091	0.100000	2091145	1758174
ERR349971	1313	1055	258	40	29889	420713	4.089147	0.155039	2096883	1792932
SRR25580301	2437	1579	858	85	73648	316459	1.840326	0.099068	2171480	1922468
ERR7977641	2032	1648	384	67	30853	477567	4.291667	0.174479	2093327	1713137
ERR363641	1697	1322	375	49	26943	403188	3.525333	0.130667	2141948	1847533
ERR349912	2088	1327	761	70	90892	270277	1.743758	0.091984	2140005	1958354
SRR11903859	1654	1228	426	54	35159	433418	2.882629	0.126761	2099443	1767999
ERR388442	653	493	160	29	9834	383240	3.081250	0.181250	2084919	1785736
SRR969353	1888	1243	645	73	81973	401168	1.927132	0.113178	2149829	1824002
SRR11903919	1469	1273	196	47	39829	467403	6.494898	0.239796	2127550	1781766
ERR9837801	2810	1930	880	89	85834	376637	2.193182	0.101136	2095486	1808455
ERR9669015	1454	1112	342	55	30309	474272	3.251462	0.160819	2087455	1698031
SRR13429227	171	125	46	7	638	355310	2.717391	0.152174	2055762	1741937
GCs48V	1367	1132	235	49	33128	534458	4.817021	0.208511	2090681	1669676
SRR5827063	1809	1227	582	64	64780	289069	2.108248	0.109966	2094565	1891989
ERR3578940	2165	1365	800	68	73722	414600	1.706250	0.085000	2136469	1784306
ERR3623356	2290	1729	561	67	25104	481415	3.081996	0.119430	2092372	1704387
ERR2133974	2673	1835	838	90	65062	320565	2.189738	0.107399	2080087	1834757
GCGS0839	564	423	141	21	19429	429357	3.000000	0.148936	2108102	1774394
SRR960561	1849	1379	470	64	35623	339270	2.934042	0.136170	2128396	1917674
ERR388438	955	777	178	41	50742	484813	4.365169	0.230337	2125927	1785036
ERR502213	1426	1105	321	53	59094	338798	3.442368	0.165109	2121590	1901794
ERR388435	2070	1305	765	74	89325	299223	1.705882	0.096732	2133695	1902644
ERR363652	858	608	250	42	34006	371298	2.432000	0.168000	2136345	1852297
ERR449569	1509	978	531	61	24852	299957	1.841808	0.114878	2126148	1901833
ERR9839385	1649	1292	357	65	38161	492227	3.619048	0.182073	2094859	1726600
ERR9668972	1984	1677	307	68	31338	542359	5.462541	0.221498	2093803	1680731
ERR1143710	2280	1300	980	82	63000	245075	1.326531	0.083673	2136501	1962186
ERR9668986	1885	1481	404	67	61216	408163	3.665842	0.165842	2147698	1840282
ERR363670	1008	812	196	46	37103	410377	4.142857	0.234694	2073384	1787981
MA65	2255	2080	175	43	38829	396557	11.885715	0.245714	2105163	1824380
SRR13305439	1254	988	266	52	14727	451693	3.714286	0.195489	2117691	1756647
ERR439293	1876	1311	565	63	33543	322645	2.320354	0.111504	2127012	1909129
SRR5827190	1263	974	289	47	42370	346606	3.370242	0.162630	2102860	1876652
ERR349923	1678	879	799	53	26328	226666	1.100125	0.066333	2124906	1957081
ERR9668981	702	598	104	23	2264	579467	5.750000	0.221154	2091426	1594767
DRR129094	1238	1026	212	41	31549	406350	4.839622	0.193396	2119134	1823199
ERR449562	1457	1209	248	47	22929	487188	4.875000	0.189516	2096481	1749622
ERR3325232	1932	1494	438	67	40231	504523	3.410959	0.152968	2152291	1719167
ERR9839397	1941	1609	332	68	29783	562610	4.846385	0.204819	2130249	1685155
ERR3326032	2908	1964	944	100	68562	372196	2.080508	0.105932	2103298	1802992
AUNG193	1049	785	264	44	22965	490328	2.973485	0.166667	2063333	1643066
ERR1143686	2656	1581	1075	101	55357	343823	1.470698	0.093953	2105108	1846842
SRR3360677	861	671	190	32	5865	325776	3.531579	0.168421	2132858	1882643
ERR449585	1138	861	277	41	28431	361733	3.108303	0.148014	2122927	1891073
GCGS0474	1921	1344	577	71	18610	299168	2.329289	0.123050	2121869	1934373
25818_2_207	716	553	163	26	36782	348467	3.392638	0.159509	2132825	1892041
FL14	1188	771	417	50	18088	296774	1.848921	0.119904	2046439	1847003
ERR502198	1505	1015	490	55	21286	449450	2.071429	0.112245	2081789	1718224
21242_3_23	923	738	185	33	35815	466789	3.989189	0.178378	2133472	1763758
ERR3325347	2406	1737	669	78	55448	259698	2.596413	0.116592	2095671	1936205
GCs33G	2059	1186	873	63	36114	328931	1.358534	0.072165	2071016	1805791
ERR439305	2899	1708	1191	112	51402	281024	1.434089	0.094039	2116924	1899646
ERR449556	3924	1627	2297	97	72743	217118	0.708315	0.042229	2088251	1917679
ERR349895	2119	1315	804	79	54574	223976	1.635572	0.098259	2138498	1999191
ERR3325732	1482	1213	269	52	31752	521382	4.509294	0.193309	2156713	1717220
ERR9838458	5118	2475	2643	126	87960	113005	0.936436	0.047673	2155735	2119981
SRR3360688	2991	2923	68	43	28642	511502	42.985294	0.632353	2098883	1694405
ERR9839020	2262	1940	322	57	28831	498616	6.024845	0.177019	2153546	1748525
ERR10659316	38	20	18	5	92	541462	1.111111	0.277778	2172199	1649958
ERR9837436	1119	839	280	54	26783	360088	2.996428	0.192857	2143451	1899508
ERR3851511	534	423	111	19	6393	327937	3.810811	0.171171	2111155	1862411
SRR13305432	1290	945	345	50	34830	427599	2.739130	0.144928	2060605	1705501
ERR439327	3655	1655	2000	98	98078	180324	0.827500	0.049000	2108727	1978773
ERR7976087	739	582	157	28	16373	503287	3.707006	0.178344	2150231	1730980
ERR3578922	1689	1210	479	56	51966	443325	2.526096	0.116910	2097066	1754862
25818_3_268	2500	1399	1101	75	90397	286073	1.270663	0.068120	2133804	1915756
ERR9837200	2105	1916	189	48	11799	419330	10.137567	0.253968	2142405	1880820
SRR13305415	2170	1347	823	68	40282	358885	1.636695	0.082625	2060193	1785478
SRR3343540	1141	833	308	49	43875	420218	2.704545	0.159091	2139255	1793169
ERR9839224	1667	929	738	56	50656	296915	1.258808	0.075881	2140908	1921865
MMM005	1011	820	191	36	39701	482666	4.293194	0.188482	2126934	1745022
ERR388451	1607	1084	523	58	47766	374141	2.072658	0.110899	2095228	1799596
ERR439334	1543	940	603	56	23461	332568	1.558872	0.092869	2108983	1861762
ERR1143673	1202	915	287	44	34562	492656	3.188153	0.153310	2095763	1680995
ERR3577970	3292	1595	1697	95	101971	196108	0.939894	0.055981	2137776	1999748
ERR3325321	1067	842	225	48	39317	580441	3.742222	0.213333	2081735	1603243
ERR388454	1855	1035	820	67	53207	232122	1.262195	0.081707	2072023	1899355
ERR3325648	3209	2138	1071	114	115390	430178	1.996265	0.106443	2155514	1786267
ERR2133968	2794	1671	1123	96	84231	220699	1.487979	0.085485	2101859	1960993
ERR3623159	1321	980	341	50	19263	422194	2.873900	0.146628	2148083	1813427
SRR2736105	1536	1310	226	52	27907	445365	5.796460	0.230089	2155397	1820993
ERR449514	2584	1234	1350	67	46978	153050	0.914074	0.049630	2131401	2047268
SRR5827361	1026	729	297	39	28754	408569	2.454545	0.131313	2140158	1848421
25818_2_7	2130	1449	681	63	54294	253869	2.127753	0.092511	2095433	1936872
GCGS0440	605	505	100	28	7051	487465	5.050000	0.280000	2147687	1734532
ERR388432	1120	827	293	49	35046	390379	2.822526	0.167235	2074640	1786327
SRR25580370	791	593	198	31	11105	360811	2.994950	0.156566	2148665	1857460
25825_2_70	311	267	44	18	13209	512163	6.068182	0.409091	2123097	1665960
ERR449555	359	280	79	18	1180	418612	3.544304	0.227848	2082591	1732113
SRR5827185	2063	1573	490	71	23373	474533	3.210204	0.144898	2058560	1699187
ERR3325818	1786	1147	639	52	20931	545990	1.794992	0.081377	2139423	1650024
ERR3325250	2080	1570	510	80	39611	421640	3.078431	0.156863	2132848	1809052
ERR349951	1033	772	261	52	32908	344147	2.957855	0.199234	2107386	1858796
ERR388430	838	621	217	36	34015	477571	2.861751	0.165899	2101305	1795223
SRR25580284	674	519	155	23	19410	569747	3.348387	0.148387	2170733	1670788
SRR5827030	2641	1659	982	87	56587	350382	1.689409	0.088595	2078625	1797365
SRR11904810	885	655	230	34	18924	285959	2.847826	0.147826	2126385	1938314
SP22	1021	883	138	33	35792	373767	6.398551	0.239130	2100093	1816325
ERR388431	941	687	254	32	20035	392454	2.704724	0.125984	2140007	1836409
SRR3350180	1841	1357	484	70	42555	461429	2.803719	0.144628	2081995	1724671
ERR449571	995	714	281	30	13628	282112	2.540925	0.106762	2091675	1900325
FFF023	0	0	0	0	0	430376	0.000000	0.000000	2068558	1682249
ERR449493	1058	724	334	47	19220	418313	2.167665	0.140719	2130018	1807789
ERR3326123	959	782	177	36	14680	598242	4.418079	0.203390	2144411	1612348
ERR449500	1156	662	494	46	22348	291903	1.340081	0.093117	2073694	1867282
GCs21U	1058	815	243	39	37313	395863	3.353909	0.160494	2100816	1808306
ERR9838513	1964	1211	753	70	43084	307219	1.608234	0.092961	2093733	1883195
ERR502185	1767	1159	608	56	58239	257937	1.906250	0.092105	2144283	1972486
SRR11904001	1622	1363	259	54	40257	419309	5.262548	0.208494	2121367	1789740
ERR2133926	1924	1444	480	70	67685	382466	3.008333	0.145833	2138791	1861055
ERR388359	1560	1038	522	53	58463	259511	1.988506	0.101533	2088255	1903197
EEE011	680	582	98	26	17966	593539	5.938776	0.265306	2150148	1645478
ERR388340	1648	1054	594	60	50726	442724	1.774411	0.101010	2127930	1785947
AUNG2170	1576	1226	350	60	31386	484457	3.502857	0.171429	2079838	1691848
ERR4776783	2043	1475	568	63	38553	433055	2.596831	0.110915	2150256	1793131
AUNG764	1120	931	189	44	27264	434081	4.925926	0.232804	2120804	1810561
ERR349887	1129	987	142	40	34331	401467	6.950704	0.281690	2077588	1808092
ERR3623170	1088	921	167	43	38906	436244	5.514970	0.257485	2095422	1780189
ERR9839159	2153	2043	110	40	25245	456827	18.572727	0.363636	2144389	1789950
ERR7986133	1410	1160	250	48	24229	490442	4.640000	0.192000	2145846	1740864
ERR439304	1401	1183	218	48	12914	414104	5.426606	0.220183	2129645	1845376
ERR9668940	2183	1477	706	83	45470	441364	2.092068	0.117564	2123197	1756702
SRR11904545	2013	1562	451	66	63860	508431	3.463415	0.146341	2162530	1740142
SRR6765310	1359	969	390	43	45421	494755	2.484615	0.110256	2115214	1709895
ERR9838399	2380	1383	997	92	46456	426154	1.387161	0.092277	2079119	1715257
ERR9839443	1122	821	301	42	28845	225508	2.727575	0.139535	2132010	2049542
ERR363655	1669	1094	575	61	52249	384527	1.902609	0.106087	2070782	1758158
ERR1143701	1909	1346	563	65	52034	349225	2.390764	0.115453	2152162	1890647
ERR3623149	459	336	123	29	30326	269190	2.731707	0.235772	2141424	1934163
SRR3349197	796	610	186	35	21093	475047	3.279570	0.188172	2097946	1715077
ERR388422	6	0	6	0	0	401777	0.000000	0.000000	2091209	1717042
FFF041	312	218	94	14	1390	356797	2.319149	0.148936	2110821	1804614
ERR3578054	2164	1458	706	62	35591	490626	2.065156	0.087819	2088908	1696324
SRR6765303	2430	1323	1107	73	72108	233717	1.195122	0.065944	2090735	1922761
SRR25580217	2893	1706	1187	90	90781	251020	1.437237	0.075821	2165660	1969544
ERR439338	3207	1654	1553	98	59336	235382	1.065035	0.063104	2113107	1936448
ERR349926	1458	1176	282	59	51965	441658	4.170213	0.209220	2071112	1755236
ERR1528311	1866	1410	456	60	29201	430050	3.092105	0.131579	2134166	1767689
SRR5827092	1890	1259	631	67	32925	275623	1.995246	0.106181	2120633	1922530
ERR9668944	2285	1804	481	86	41785	472323	3.750520	0.178794	2145561	1764076
SRR5827331	1801	1173	628	56	61868	274735	1.867834	0.089172	2127652	1967181
ERR9837161	603	491	112	20	4842	508491	4.383929	0.178571	2125265	1680496
EEE032	1797	1551	246	47	23447	437662	6.304878	0.191057	2102271	1789023
ERR9838656	1144	916	228	44	16570	519737	4.017544	0.192982	2089629	1691154
ERR779836	3282	1598	1684	103	85437	206347	0.948931	0.061164	2124696	1980981
ERR2799251	1190	939	251	49	26816	457542	3.741036	0.195219	2088528	1707709
SRR5827341	1779	1005	774	70	63896	217197	1.298450	0.090439	2048802	1930067
ERR388446	712	576	136	32	42253	429458	4.235294	0.235294	2125029	1788447
ERR3578130	783	518	265	37	28459	372356	1.954717	0.139623	2162112	1869437
SRR11904221	1737	1363	374	57	15608	522042	3.644385	0.152406	2145862	1704646
SRR25580149	1397	955	442	51	25006	402911	2.160634	0.115385	2155744	1832220
SRR5827197	2498	1696	802	83	45671	307051	2.114713	0.103491	2097211	1901906
SRR9877818	2246	1484	762	78	56365	371487	1.947507	0.102362	2103693	1812491
SRR1661324	1	0	1	0	0	327658	0.000000	0.000000	2130295	1818938
GCGS0347	1110	893	217	44	38492	569105	4.115207	0.202765	2082302	1641829
GCGS0454	1315	998	317	45	13447	332447	3.148265	0.141956	2120286	1902541
GCGS0304	480	349	131	21	12533	368461	2.664122	0.160305	2132479	1815257
ERR388445	1203	908	295	43	23473	372476	3.077966	0.145763	2089581	1812775
ERR779772	3273	1442	1831	95	95754	186969	0.787548	0.051884	2133419	1987459
GCs14N	4	0	4	0	0	409181	0.000000	0.000000	2130917	1736416
ERR7985866	1848	1483	365	63	32365	378737	4.063014	0.172603	2091974	1799438
ERR3623410	1013	879	134	48	37855	501662	6.559701	0.358209	2156189	1749086
ERR349970	2557	1270	1287	76	96173	193453	0.986791	0.059052	2137042	2018774
SRR13305402	1822	1238	584	66	67502	270172	2.119863	0.113014	2128638	1922601
ERR439313	3888	2094	1794	115	54837	238046	1.167224	0.064103	2081813	1903501
ERR349932	875	691	184	31	28491	368401	3.755435	0.168478	2093475	1814823
MA45	1814	1181	633	67	49397	263191	1.865719	0.105845	2102388	1934836
ERR9668921	109	81	28	7	892	385197	2.892857	0.250000	2104027	1740450
SRR6765394	1086	655	431	37	28783	381017	1.519722	0.085847	2098668	1785309
ERR779802	1497	948	549	54	24785	303909	1.726776	0.098361	2123266	1898565
ERR7987170	1157	965	192	45	33053	485616	5.026042	0.234375	2152334	1806155
GCGS0870	204	143	61	9	1861	398729	2.344262	0.147541	2125707	1757044
SRR13300789	1493	1032	461	67	48745	454682	2.238612	0.145336	2103502	1765275
ERR1469734	2464	1552	912	85	87107	281121	1.701754	0.093202	2102984	1904719
SRR1661182	1949	1598	351	65	47254	515270	4.552707	0.185185	2082759	1679829
POA58	2042	1608	434	62	63866	423587	3.705069	0.142857	2110673	1797180
SRR3360630	1529	1121	408	49	32068	435531	2.747549	0.120098	2139555	1790738
ERR1560939	1185	893	292	34	20718	403981	3.058219	0.116438	2110836	1814506
GCs18R	693	559	134	36	30872	524474	4.171642	0.268657	2091523	1672175
SRR5827195	1650	1030	620	52	63958	207523	1.661290	0.083871	2094878	1981789
ERR3325738	1894	1380	514	60	14669	350318	2.684825	0.116732	2093106	1808710
ERR449524	1167	943	224	39	8277	448348	4.209821	0.174107	2142610	1814664
ERR3325855	579	523	56	15	11113	400575	9.339286	0.267857	2010945	1671422
JJJ024	2418	1440	978	81	64426	280016	1.472393	0.082822	2147181	1914065
SRR13305408	534	401	133	24	12076	453957	3.015038	0.180451	2058931	1663046
SRR10619218	878	711	167	22	14113	436651	4.257485	0.131737	2129075	1799841
ERR1549685	647	484	163	36	10351	556327	2.969325	0.220859	2135748	1638398
SRR6765375	775	608	167	35	11604	357329	3.640718	0.209581	2102385	1828876
ERR1560857	650	428	222	27	13561	344865	1.927928	0.121622	2155776	1875457
AUNG299	1168	967	201	47	39960	384926	4.810946	0.233831	2067229	1832084
ERR388433	2280	1239	1041	80	82883	227357	1.190202	0.076849	2088609	1936148
ERR3577890	1564	1112	452	59	30526	568668	2.460177	0.130531	2128816	1631064
25818_2_181	2394	1503	891	78	24335	372801	1.686869	0.087542	2143267	1845406
SRR11904572	1918	1507	411	70	50740	474156	3.666667	0.170316	2136673	1774110
MA73	3708	1846	1862	98	109289	139840	0.991407	0.052632	2105639	2040242
ERR10172565	1634	1216	418	58	35156	475508	2.909091	0.138756	2134537	1722859
ERR2799268	1276	973	303	45	34431	498294	3.211221	0.148515	2080998	1678415
SRR13305401	1726	909	817	59	37208	338632	1.112607	0.072215	2078744	1805663
ERR3325488	781	643	138	32	33344	534883	4.659420	0.231884	2089780	1611293
ERR3623422	1530	1186	344	52	34529	526294	3.447675	0.151163	2164087	1714224
ERR3325272	204	155	49	10	2202	474380	3.163265	0.204082	2092869	1658795
ERR9668912	2074	1610	464	72	28075	420926	3.469828	0.155172	2152823	1794826
ERR3325716	2126	1841	285	70	21697	519393	6.459649	0.245614	2074412	1693353
ERR502233	915	855	60	17	2319	327076	14.250000	0.283333	2119926	1854962
FL36	933	829	104	40	23383	501211	7.971154	0.384615	2118930	1741812
ERR1560874	3241	1803	1438	94	71650	349802	1.253825	0.065369	2108800	1827441
